,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,alekseyevsk,57.8406,108.3492,0.91,91,99,5.19,RU,1612564943
370,krasnomayskiy,57.6194,34.4099,3.25,93,100,8.34,RU,1612564943
371,dongsheng,39.8161,109.9776,25.14,79,0,13.85,CN,1612564944
372,gawler,-34.6,138.7333,63.0,90,74,17.0,AU,1612564944
373,clonakilty,51.6231,-8.8706,41.0,93,75,9.22,IE,1612564852
374,sayyan,15.1718,44.3244,48.24,68,9,5.37,YE,1612564944
375,miri,4.4148,114.0089,77.0,100,40,3.44,MY,1612564945
376,jishou,28.3167,109.7167,47.12,89,67,0.25,CN,1612564945
377,smithers,54.7804,-127.1743,30.2,80,75,9.22,CA,1612564946
378,narsaq,60.9167,-46.05,15.8,48,0,2.3,GL,1612564678
379,mathathane,-22.2687,28.7495,75.11,80,82,14.27,BW,1612564946
380,ihosy,-22.4,46.1167,70.7,88,100,3.18,MG,1612564946
381,nanuque,-17.8392,-40.3539,81.81,71,82,16.8,BR,1612564946
382,pouebo,-20.4,164.5667,82.8,67,11,3.91,NC,1612564947
383,oktyabrskiy,54.4815,53.471,35.2,95,100,12.44,RU,1612564947
384,hami,42.8,93.45,28.74,85,97,4.03,CN,1612564866
385,oistins,13.0667,-59.5333,78.8,65,20,18.41,BB,1612564947
386,westport,41.1415,-73.3579,42.8,70,1,3.44,US,1612564838
387,kenai,60.5544,-151.2583,14.0,85,75,4.61,US,1612564948
388,alofi,-19.0595,-169.9187,78.8,89,100,12.66,NU,1612564948
389,coquimbo,-29.9533,-71.3436,64.4,72,40,12.66,CL,1612564816
390,castricum,52.5483,4.6694,44.01,92,76,1.99,NL,1612564949
391,fukue,32.6881,128.8419,53.31,85,100,6.17,JP,1612564788
392,shostka,51.863,33.4698,10.24,96,27,8.28,UA,1612564949
393,ndago,-4.6,34.35,63.99,83,56,2.89,TZ,1612564949
394,helong,42.5397,128.9972,20.07,93,19,4.59,CN,1612564950
395,chirongui,-12.9319,45.1483,82.4,78,0,5.75,YT,1612564950
396,salalah,17.0151,54.0924,73.4,64,40,6.91,OM,1612564950
397,mashhad,36.297,59.6062,46.4,42,0,6.91,IR,1612564950
398,abu samrah,24.6,72.7,44.28,57,0,7.07,IN,1612564808
399,kapit,2.0167,112.9333,72.48,95,98,0.45,MY,1612564951
400,zhongshan,21.3226,110.5829,61.48,93,0,5.64,CN,1612564802
401,north bend,50.3333,3.6667,45.0,93,90,4.61,FR,1612564951
402,kralendijk,12.15,-68.2667,80.6,74,0,20.71,BQ,1612564676
403,kharhial,20.2833,82.7667,56.39,37,0,2.93,IN,1612564951
404,taksimo,56.3444,114.8794,-9.11,79,100,3.29,RU,1612564659
405,gonaives,19.45,-72.6833,78.91,68,24,3.29,HT,1612564952
406,beira,-19.8436,34.8389,84.2,84,40,9.22,MZ,1612564952
407,dayong,25.0209,118.2898,57.2,94,2,2.24,CN,1612564953
408,marrakesh,31.6315,-8.0083,50.0,87,75,11.5,MA,1612564953
409,petropavlovka,50.6114,105.3196,-5.82,82,2,4.72,RU,1612564953
410,bellevue,47.6104,-122.2007,51.8,71,75,8.05,US,1612564921
411,dwarka,22.2394,68.9678,68.5,51,0,15.73,IN,1612564750
412,sandnessjoen,66.0217,12.6316,3.2,85,0,3.44,NO,1612564954
413,kropotkin,45.4375,40.5756,32.18,90,25,14.81,RU,1612564954
414,ancud,-41.8697,-73.8203,82.4,32,0,16.11,CL,1612564955
415,half moon bay,6.3807,-10.6953,77.0,94,20,5.28,LR,1612564955
416,miracema do tocantins,-21.4122,-42.1967,74.07,95,100,3.6,BR,1612564955
417,nyurba,63.2842,118.3319,-40.05,80,46,4.32,RU,1612564955
418,bonfim,3.0833,-59.95,82.22,59,26,8.21,BR,1612564956
419,kruisfontein,-34.0033,24.7314,72.0,84,6,1.99,ZA,1612564956
420,rokytne,51.2796,27.214,18.27,94,59,4.27,UA,1612564956
421,olinda,-8.0089,-34.8553,80.6,65,40,6.91,BR,1612564957
422,nanakuli,21.3906,-158.1547,75.2,50,40,9.22,US,1612564957
423,muroto,33.2833,134.15,44.6,81,75,4.61,JP,1612564957
424,karaton,-6.3424,106.1045,80.6,78,75,16.11,ID,1612564957
425,tual,-5.6667,132.75,83.61,76,99,21.07,ID,1612564957
426,coihueco,-36.6167,-71.8333,78.8,50,0,3.44,CL,1612564958
427,sosnogorsk,63.6023,53.8817,-7.15,90,100,11.54,RU,1612564958
428,abu kamal,24.6,72.7,44.19,58,0,7.02,IN,1612564959
429,skjervoy,70.0311,20.9714,30.22,93,100,20.04,NO,1612564959
430,boa viagem,4.4296,8.9742,79.68,83,74,3.83,CM,1612564959
431,puerto leguizamo,36.5939,-6.233,55.4,94,40,5.75,ES,1612564959
432,ermua,43.1833,-2.5,53.01,99,98,2.19,ES,1612564959
433,lubango,-14.9172,13.4925,63.63,55,28,3.04,AO,1612564960
434,tura,25.5198,90.2201,61.09,44,0,3.51,IN,1612564960
435,faanui,-16.4833,-151.75,81.48,63,2,3.6,PF,1612564960
436,urucui,-7.2294,-44.5561,78.64,79,98,4.32,BR,1612564960
437,nassjo,57.6531,14.6968,10.4,92,90,4.47,SE,1612564726
438,stromness,58.965,-3.296,35.6,60,90,18.41,GB,1612564961
439,mehamn,71.0357,27.8492,26.6,74,40,25.32,NO,1612564961
440,vila franca do campo,42.0304,-8.1588,45.0,93,100,8.32,PT,1612564923
441,mackenzie,55.2999,-123.1698,15.8,86,75,3.44,CA,1612564961
442,deputatskiy,69.3,139.9,-24.32,88,90,0.2,RU,1612564853
443,byron bay,44.0327,-92.6455,8.6,72,90,18.41,US,1612564962
444,bangui,4.3612,18.555,80.6,65,7,4.61,CF,1612564962
445,yar-sale,66.8333,70.8333,-19.12,88,100,9.17,RU,1612564962
446,krasnoselkup,65.7,82.4667,-24.18,85,92,6.2,RU,1612564963
447,staroutkinsk,57.2302,59.3348,35.53,91,100,9.73,RU,1612564963
448,muros,42.7762,-9.0603,52.0,76,100,7.0,ES,1612564963
449,weyburn,49.6668,-103.8511,-9.4,64,64,20.71,CA,1612564963
450,mmathubudukwane,-24.6,26.4333,68.0,100,90,2.3,BW,1612564964
451,sorland,67.667,12.6934,30.2,86,40,6.91,NO,1612564855
452,saint-pierre,-21.3393,55.4781,78.8,61,20,8.05,RE,1612564881
453,kysyl-syr,63.8986,122.7617,-42.77,78,12,4.07,RU,1612564965
454,lufilufi,-13.8745,-171.5986,78.8,94,90,9.22,WS,1612564708
455,bulancak,40.9372,38.2291,44.6,87,75,1.14,TR,1612564965
456,nurpur,29.15,78.4167,50.58,65,0,5.55,IN,1612564748
457,scarborough,54.2797,-0.4044,43.0,97,87,1.99,GB,1612564965
458,roald,62.5833,6.1333,28.4,59,90,11.5,NO,1612564966
459,omboue,-1.5746,9.2618,79.16,88,100,5.1,GA,1612564966
460,cidreira,-30.1811,-50.2056,68.92,70,17,15.55,BR,1612564942
461,trincomalee,8.5711,81.2335,77.5,83,66,12.24,LK,1612564967
462,kuryk,43.2,51.65,46.51,85,97,20.85,KZ,1612564967
463,kloulklubed,7.0419,134.2556,78.82,91,100,15.79,PW,1612564967
464,ferme-neuve,46.7001,-75.4493,30.2,80,100,13.8,CA,1612564967
465,bandundu,-3.3167,17.3667,75.16,84,65,2.3,CD,1612564968
466,arman,59.7,150.1667,-7.49,82,86,10.36,RU,1612564875
467,kawalu,-7.3817,108.2082,71.51,89,36,3.65,ID,1612564968
468,sembe,1.6481,14.5806,74.71,76,12,2.86,CG,1612564968
469,norman wells,35.2226,-97.4395,57.0,21,1,9.22,US,1612564969
470,soma,39.1855,27.6094,44.6,100,0,1.14,TR,1612564969
471,mattru,7.6244,-11.8332,76.03,76,62,3.02,SL,1612564969
472,cabedelo,-6.9811,-34.8339,80.6,78,0,6.91,BR,1612564879
473,kholodnyy,62.7167,147.95,-18.53,84,97,2.35,RU,1612564969
474,riyadh,24.6877,46.7219,69.8,30,20,6.91,SA,1612564970
475,new amsterdam,6.6518,-10.5932,77.0,94,20,3.06,LR,1612564865
476,urumqi,43.801,87.6005,10.4,85,14,2.24,CN,1612564970
477,novosheshminsk,55.0651,51.2338,19.54,96,100,11.72,RU,1612564971
478,erie,42.7667,-78.6664,27.0,87,99,18.12,US,1612564971
479,nizwa,22.9333,57.5333,52.93,69,0,0.51,OM,1612564971
480,aktash,50.3,87.7333,8.22,96,100,4.43,RU,1612564971
481,maridi,4.9158,29.4742,73.0,23,15,5.95,SS,1612564972
482,poitiers,46.5833,0.3333,48.2,93,90,11.5,FR,1612564972
483,biskamzha,53.4497,89.5272,13.46,90,100,1.07,RU,1612564972
484,cedar city,41.2122,-92.5257,21.0,68,1,19.57,US,1612564936
485,siniscola,40.5719,9.6922,55.4,94,40,3.44,IT,1612564973
486,dumra,26.5667,85.5167,59.43,52,39,6.64,IN,1612564973
487,tabuk,17.4189,121.4443,67.62,88,24,1.97,PH,1612564973
488,jinchang,38.4953,102.1739,30.04,58,0,4.76,CN,1612564974
489,shenjiamen,29.9576,122.298,48.24,89,84,11.1,CN,1612564967
490,zyryanka,65.75,150.85,-24.81,86,68,3.11,RU,1612564974
491,asau,46.4333,26.4,34.0,75,100,1.14,RO,1612564702
492,kirakira,-10.4544,161.9205,83.21,77,46,11.39,SB,1612564846
493,pangnirtung,66.1451,-65.7125,15.8,92,90,6.91,CA,1612564975
494,zmeinogorsk,51.1567,82.195,26.04,98,96,9.73,RU,1612564975
495,broome,42.2506,-75.833,35.6,48,20,18.41,US,1612564882
496,ewa beach,-8.6235,122.5073,76.93,84,100,2.46,ID,1612564975
497,mogadishu,2.0371,45.3438,75.58,85,5,16.8,SO,1612564932
498,grand centre,38.8755,-109.5012,46.4,29,1,8.05,US,1612564976
499,salamiyah,35.0113,37.0532,47.44,88,0,3.11,SY,1612564976
500,banda aceh,25.4833,80.3333,54.1,79,39,4.85,IN,1612564976
501,cap-aux-meules,47.3821,-61.8597,30.2,93,76,12.66,CA,1612564977
502,sur,22.5667,59.5289,63.75,65,0,6.51,OM,1612564977
503,ballina,-28.8667,153.5667,73.4,88,75,3.44,AU,1612564977
504,piacabucu,-10.4056,-36.4344,79.45,73,72,16.67,BR,1612564977
505,crixas,-14.5489,-49.9692,75.58,88,100,2.95,BR,1612564977
506,waspan,14.7419,-83.9717,82.4,80,40,4.61,NI,1612564978
507,zhangjiakou,40.81,114.8794,23.76,86,12,5.3,CN,1612564978
508,zvenigovo,55.9742,48.0181,12.2,85,90,17.9,RU,1612564978
509,madikeri,12.4167,75.7333,59.49,76,17,3.36,IN,1612564978
510,lorengau,-2.0226,147.2712,83.17,72,74,4.38,PG,1612564978
511,livingstonia,-10.606,34.1063,65.95,85,9,2.35,MW,1612564979
512,aginskoye,51.1,114.53,-7.01,86,0,9.89,RU,1612564979
513,goundam,16.4145,-3.6708,78.73,16,100,7.58,ML,1612564979
514,okhotsk,59.3833,143.3,-1.32,85,99,6.55,RU,1612564686
515,labuhan,-6.8844,112.2051,77.49,86,91,9.93,ID,1612564850
516,galle,6.0367,80.217,74.64,88,57,5.91,LK,1612564827
517,batagay,67.6333,134.6333,-33.29,82,100,1.68,RU,1612564980
518,yeniseysk,58.4497,92.1703,3.34,94,98,3.49,RU,1612564980
519,high wycombe,33.6123,-95.7472,57.0,29,28,3.74,US,1612564980
520,zhezkazgan,47.8043,67.7144,19.53,97,20,7.2,KZ,1612564981
521,totness,5.8833,-56.3167,77.29,81,71,12.44,SR,1612564981
522,west bay,31.8024,-97.0917,59.0,38,1,6.02,US,1612564981
523,baghdad,33.3406,44.4009,57.2,77,90,5.75,IQ,1612564839
524,belmonte,-15.8631,-38.8828,80.6,74,40,13.8,BR,1612564857
525,tubuala,9.5167,-79.0333,89.6,55,40,10.36,PA,1612564982
526,arlit,18.7369,7.3853,66.97,23,0,6.15,NE,1612564982
527,dhanaula,30.2833,75.5833,46.76,79,0,4.74,IN,1612564982
528,amot,59.5714,7.9877,12.0,88,3,5.99,NO,1612564982
529,calabozo,8.9242,-67.4293,88.39,38,100,5.14,VE,1612564983
530,vostok,46.4856,135.8833,-0.06,94,100,3.11,RU,1612564828
531,oussouye,12.485,-16.5469,77.0,78,0,9.22,SN,1612564983
532,biak,-0.9131,122.8766,77.36,79,100,6.24,ID,1612564878
533,constitucion,-35.3333,-72.4167,61.38,78,22,2.55,CL,1612564859
534,council bluffs,44.7299,-116.4382,39.99,69,40,10.36,US,1612564984
535,najran,17.4924,44.1277,66.2,26,0,10.54,SA,1612564984
536,maceio,-9.6658,-35.7353,77.0,83,0,10.36,BR,1612564740
537,san lorenzo,13.3034,-4.8956,79.72,16,37,6.4,ML,1612564820
538,along,28.1667,94.7667,49.75,60,0,1.79,IN,1612564985
539,malanje,-9.5402,16.341,65.25,94,100,1.9,AO,1612564985
540,qaqortoq,60.7167,-46.0333,15.8,48,0,2.3,GL,1612564985
541,srandakan,-7.9386,110.2506,75.4,87,94,5.14,ID,1612564985
542,portland,45.5234,-122.6762,53.01,76,75,5.75,US,1612564659
543,mayfield,36.7417,-88.6367,46.0,45,1,9.22,US,1612564986
544,sibolga,1.7427,98.7792,75.18,81,99,3.91,ID,1612564986
545,pierre,44.3683,-100.351,26.6,43,20,14.97,US,1612564986
